"city","state_id","id"
"South Creek","WA","1840042075"
"Roslyn","WA","1840019842"
"Sprague","WA","1840021107"
"Gig Harbor","WA","1840019855"
"Lake Cassidy","WA","1840041959"
"Tenino","WA","1840021144"
"Jamestown","WA","1840037668"
"Three Lakes","WA","1840018375"
"Curlew Lake","WA","1840043278"
"Chain Lake","WA","1840041915"
"Pateros","WA","1840019763"
"Rosburg","WA","1840023878"
"Parkland","WA","1840018453"
"Birch Bay","WA","1840017289"
"Ashford","WA","1840017363"
"Navy Yard City","WA","1840018407"
"Omak","WA","1840019761"
"Farmington","WA","1840021140"
"Buckley","WA","1840018455"
"Cathcart","WA","1840017324"
"Poulsbo","WA","1840019822"
"Anacortes","WA","1840018366"
"Maplewood","WA","1840037569"
"Creston","WA","1840021109"
"Rockford","WA","1840021095"
"Wishram","WA","1840018528"
"Centralia","WA","1840018471"
"South Hill","WA","1840037886"
"Longview Heights","WA","1840037874"
"Erlands Point-Kitsap Lake","WA","1840073915"
"Amboy","WA","1840017396"
"St. John","WA","1840021139"
"Dallesport","WA","1840018525"
"Ketron Island","WA","1840037558"
"Mesa","WA","1840019887"
"Fife","WA","1840019853"
"Moses Lake North","WA","1840074436"
"Chewelah","WA","1840018360"
"Grayland","WA","1840017360"
"Kittitas","WA","1840019843"
"Camano","WA","1840037492"
"Monroe North","WA","1840042006"
"North Bonneville","WA","1840019903"
"Klickitat","WA","1840017404"
"Loon Lake","WA","1840023998"
"Newport","WA","1840019765"
"Mead","WA","1840023786"
"Cashmere","WA","1840018368"
"Aberdeen Gardens","WA","1840037845"
"Ocean Shores","WA","1840019849"
"Basin City","WA","1840017379"
"Wilkeson","WA","1840022310"
"Meadow Glade","WA","1840018517"
"Arlington Heights","WA","1840037743"
"Uniontown","WA","1840022316"
"Oakesdale","WA","1840022314"
"West Side Highway","WA","1840037246"
"Conconully","WA","1840022269"
"Latah","WA","1840021097"
"Elma","WA","1840019844"
"Tieton","WA","1840022319"
"Southworth","WA","1840023800"
"Danville","WA","1840037761"
"Toppenish","WA","1840021151"
"River Road","WA","1840037861"
"Geneva","WA","1840017291"
"Yakima","WA","1840021154"
"Moxee","WA","1840037381"
"Edmonds","WA","1840037645"
"Kalama","WA","1840018502"
"Laurier","WA","1840026092"
"Vashon","WA","1840018414"
"Country Homes","WA","1840017334"
"Darrington","WA","1840021081"
"Metaline Falls","WA","1840022277"
"Lyle","WA","1840017402"
"Cascade Valley","WA","1840037865"
"Spangle","WA","1840022290"
"Methow","WA","1840025237"
"Waterville","WA","1840022287"
"Lake Roesiger","WA","1840037853"
"Milton","WA","1840019857"
"Krupp","WA","1840074934"
"Alderton","WA","1840037523"
"DuPont","WA","1840018457"
"Edgewood","WA","1840019852"
"North Puyallup","WA","1840037690"
"Pacific Beach","WA","1840023817"
"Manson","WA","1840025246"
"Brewster","WA","1840018359"
"Battle Ground","WA","1840018523"
"Shoreline","WA","1840021118"
"Cosmopolis","WA","1840018448"
"Airway Heights","WA","1840018399"
"Grandview","WA","1840019871"
"Inchelium","WA","1840017307"
"Grand Coulee","WA","1840019815"
"Union","WA","1840025253"
"Torboy","WA","1840026090"
"Kelso","WA","1840018503"
"Westport","WA","1840021124"
"Junction City","WA","1840017362"
"Lake Ketchum","WA","1840037852"
"West Pasco","WA","1840037891"
"Des Moines","WA","1840018426"
"Davenport","WA","1840018404"
"Seattle","WA","1840021117"
"Lake Stickney","WA","1840037894"
"Carnation","WA","1840018421"
"Everett","WA","1840019785"
"Warden","WA","1840021103"
"Palouse","WA","1840019863"
"Terrace Heights","WA","1840018465"
"Clarkston","WA","1840018499"
"Elmer City","WA","1840021058"
"Mossyrock","WA","1840019883"
"Summit View","WA","1840042106"
"Suquamish","WA","1840018411"
"Newcastle","WA","1840019831"
"Stanwood","WA","1840021079"
"Kapowsin","WA","1840023832"
"Donald","WA","1840023853"
"Altoona","WA","1840023875"
"South Prairie","WA","1840022308"
"Eschbach","WA","1840017369"
"Indianola","WA","1840017337"
"Reardan","WA","1840021110"
"Cowiche","WA","1840023852"
"Sunday Lake","WA","1840042107"
"Rocky Point","WA","1840037507"
"Burbank","WA","1840017383"
"Lakeland North","WA","1840074254"
"Granite Falls","WA","1840019787"
"Camas","WA","1840018524"
"Skokomish","WA","1840018433"
"Cusick","WA","1840021060"
"Rosalia","WA","1840021138"
"Longbranch","WA","1840023835"
"Granger","WA","1840019872"
"North Fort Lewis","WA","1840042007"
"Tampico","WA","1840023857"
"Tukwila","WA","1840021120"
"Cathlamet","WA","1840022327"
"Wenatchee","WA","1840021074"
"Port Ludlow","WA","1840018388"
"Castle Rock","WA","1840018501"
"Glacier","WA","1840017292"
"Index","WA","1840021082"
"Republic","WA","1840019766"
"Bellevue","WA","1840018417"
"Malo","WA","1840026093"
"Anderson Island","WA","1840041888"
"University Place","WA","1840021130"
"Montesano","WA","1840019847"
"Rainier","WA","1840021147"
"Fords Prairie","WA","1840017377"
"Roy","WA","1840019856"
"Oso","WA","1840018374"
"Marblemount","WA","1840017315"
"Elk Plain","WA","1840037546"
"Burlington","WA","1840018367"
"Bangor Base","WA","1840036750"
"Beaux Arts Village","WA","1840019838"
"Port Gamble Tribal Community","WA","1840042014"
"Olympia","WA","1840019865"
"East Wenatchee","WA","1840019795"
"Addy","WA","1840025238"
"Minnehaha","WA","1840018518"
"Bryn Mawr-Skyway","WA","1840037012"
"Satsop","WA","1840018445"
"Riverbend","WA","1840037860"
"Easton","WA","1840017354"
"Silverdale","WA","1840018406"
"Napavine","WA","1840019884"
"Lochsloy","WA","1840037500"
"Ellensburg","WA","1840019841"
"McKenna","WA","1840023836"
"Fairfield","WA","1840021096"
"Northwest Stanwood","WA","1840042009"
"Mansfield","WA","1840022286"
"Duvall","WA","1840018427"
"Markham","WA","1840017359"
"Waller","WA","1840037889"
"Longview","WA","1840019904"
"Richland","WA","1840019889"
"Rosedale","WA","1840023839"
"Vancouver","WA","1840021189"
"Bethel","WA","1840023792"
"Custer","WA","1840018344"
"Lofall","WA","1840023798"
"Fairwood","WA","1840037517"
"Winlock","WA","1840021164"
"Sumner","WA","1840021128"
"Cottage Lake","WA","1840037848"
"Puget Island","WA","1840042033"
"Woods Creek","WA","1840037864"
"Washougal","WA","1840021190"
"Sisco Heights","WA","1840037510"
"Canterwood","WA","1840037842"
"Wapato","WA","1840021153"
"Lower Elochoman","WA","1840041981"
"Lake Goodwin","WA","1840037872"
"Banks Lake South","WA","1840034884"
"Kent","WA","1840018424"
"Bickleton","WA","1840017400"
"Ryderwood","WA","1840025275"
"Cavalero","WA","1840041913"
"La Conner","WA","1840021068"
"Martha Lake","WA","1840037875"
"George","WA","1840019814"
"Snohomish","WA","1840021078"
"Eatonville","WA","1840021131"
"Carson","WA","1840017391"
"Almira","WA","1840021108"
"Nooksack","WA","1840019753"
"Mount Vista","WA","1840037858"
"High Bridge","WA","1840041937"
"Lakeland South","WA","1840074270"
"Kenmore","WA","1840018423"
"Neah Bay","WA","1840023937"
"Cliffdell","WA","1840023851"
"Port Angeles East","WA","1840074570"
"Burien","WA","1840018420"
"Taholah","WA","1840018447"
"Wauna","WA","1840023842"
"Connell","WA","1840018479"
"Disautel","WA","1840023755"
"Santiago","WA","1840042040"
"Orting","WA","1840019858"
"Colville","WA","1840018361"
"Marysville","WA","1840019789"
"Walla Walla","WA","1840021174"
"Zillah","WA","1840021155"
"Curlew","WA","1840025242"
"Key Center","WA","1840023833"
"Hoodsport","WA","1840025233"
"Spanaway","WA","1840018451"
"Mattawa","WA","1840022292"
"Clallam Bay","WA","1840025247"
"Prairie Ridge","WA","1840037882"
"Rockport","WA","1840018365"
"Stansberry Lake","WA","1840042090"
"Copalis Beach","WA","1840017356"
"Frederickson","WA","1840037551"
"Asotin","WA","1840018500"
"Mill Creek","WA","1840019790"
"Bell Hill","WA","1840037847"
"Green Bluff","WA","1840023785"
"Clayton","WA","1840025239"
"Puyallup","WA","1840019859"
"Hockinson","WA","1840017399"
"Lake McMurray","WA","1840037893"
"Bucoda","WA","1840021143"
